Training Start Time: 2024-06-26 20:58:06.941044
Config: {'neurons': [418, 410], 'batch_size': 17, 'val_split': 0.039134406826103474}, MAE: 0.0004260245589804389
Config: {'neurons': [420, 412], 'batch_size': 16, 'val_split': 0.04361541181722034}, MAE: 0.004141961645024165
Config: {'neurons': [422, 414], 'batch_size': 10, 'val_split': 0.08975515953483285}, MAE: 0.0031317552847195153
Config: {'neurons': [424, 416], 'batch_size': 27, 'val_split': 0.11868437980495904}, MAE: 0.0002263878533161298
Config: {'neurons': [426, 418], 'batch_size': 20, 'val_split': 0.04259693739999568}, MAE: 0.0016928060042614684
Config: {'neurons': [428, 420], 'batch_size': 28, 'val_split': 0.13942115882815964}, MAE: 0.0002181003468450411
Config: {'neurons': [430, 422], 'batch_size': 10, 'val_split': 0.09228183686262041}, MAE: 0.00043946470363983697
Config: {'neurons': [432, 424], 'batch_size': 32, 'val_split': 0.06564707596560548}, MAE: 0.0017283377251775442
Config: {'neurons': [434, 426], 'batch_size': 17, 'val_split': 0.0991605351613291}, MAE: 0.00012314839218283502
Config: {'neurons': [436, 428], 'batch_size': 28, 'val_split': 0.02135523331373876}, MAE: 0.0008606392707696204
Config: {'neurons': [438, 430], 'batch_size': 18, 'val_split': 0.061590949236884546}, MAE: 0.0020374146642644724
Config: {'neurons': [440, 432], 'batch_size': 12, 'val_split': 0.06148423252382523}, MAE: 0.0004903965811743624
Config: {'neurons': [442, 434], 'batch_size': 32, 'val_split': 0.11169672637287376}, MAE: 0.0016919716578278298
Config: {'neurons': [444, 436], 'batch_size': 33, 'val_split': 0.07023833957635015}, MAE: 0.002263791280342213
Config: {'neurons': [446, 438], 'batch_size': 32, 'val_split': 0.14565553756410315}, MAE: 3.706032955570779e-05
Config: {'neurons': [448, 440], 'batch_size': 15, 'val_split': 0.04865758421837846}, MAE: 0.0003492782014561492
Config: {'neurons': [450, 442], 'batch_size': 28, 'val_split': 0.08701072125352409}, MAE: 0.002905484520682461
Config: {'neurons': [452, 444], 'batch_size': 26, 'val_split': 0.07949501965530793}, MAE: 0.00010652855347915848
Config: {'neurons': [454, 446], 'batch_size': 27, 'val_split': 0.01987503351973971}, MAE: 0.0002273432060990285
Config: {'neurons': [456, 448], 'batch_size': 18, 'val_split': 0.04462518364679949}, MAE: 0.0020439330272434475
Config: {'neurons': [458, 450], 'batch_size': 10, 'val_split': 0.07984668002482537}, MAE: 0.00029686356479467475
Config: {'neurons': [460, 452], 'batch_size': 23, 'val_split': 0.1984568441312256}, MAE: 0.0002956547269660119
Config: {'neurons': [462, 454], 'batch_size': 16, 'val_split': 0.05200633777429159}, MAE: 0.0009870395256020696
Config: {'neurons': [464, 456], 'batch_size': 26, 'val_split': 0.14213224972177813}, MAE: 5.472213404565344e-05
Config: {'neurons': [466, 458], 'batch_size': 28, 'val_split': 0.044574954917031534}, MAE: 0.0024127727543292606
Config: {'neurons': [468, 460], 'batch_size': 11, 'val_split': 0.18336052481241594}, MAE: 0.0029785458605259907
Config: {'neurons': [470, 462], 'batch_size': 29, 'val_split': 0.08921118778026506}, MAE: 7.603559017222195e-05
Config: {'neurons': [472, 464], 'batch_size': 15, 'val_split': 0.11852849199926128}, MAE: 0.0002190932500051631
Config: {'neurons': [474, 466], 'batch_size': 12, 'val_split': 0.034344916528959074}, MAE: 0.002246559238112233
Config: {'neurons': [476, 468], 'batch_size': 24, 'val_split': 0.06958018929755477}, MAE: 0.00012719289781362744
Config: {'neurons': [478, 470], 'batch_size': 23, 'val_split': 0.14343352434954848}, MAE: 0.0012562648503261634
Config: {'neurons': [480, 472], 'batch_size': 21, 'val_split': 0.05516418450645}, MAE: 0.0019011570332748394
Config: {'neurons': [482, 474], 'batch_size': 30, 'val_split': 0.1909042560569285}, MAE: 7.543198259973143e-05
Config: {'neurons': [484, 476], 'batch_size': 21, 'val_split': 0.011088169941243203}, MAE: 0.00021854849447752985
Config: {'neurons': [486, 478], 'batch_size': 18, 'val_split': 0.18503111486314738}, MAE: 0.0014817191836858014
